WobFile, WobURL, WobTitle, WobDate,PdfName, PdfUrl, PdfDate, Size, PdfTitle, PdfPages (meta), WordsPerPage
c4b89b0939b38dd79efd496ba963dfc4,https://wobcovid19.rijksoverheid.nl/publicaties/c4b89b0939b38dd79efd496ba963dfc4/,Wob deelbesluit aangaande overleggen VWS in de periode van maart 2020,11/8/2021 0:00,Bijlage B bij Wob-deelbesluit 'Overleggen VWS' maart 2020,https://wobcovid19.rijksoverheid.nl/publicaties/c4b89b0939b38dd79efd496ba963dfc4/bijlage-b-bij-wob-deelbesluit-overleggen-vws-maart-2020.pdf,8/11/2021,269 kB,,8 (8),444
c4b89b0939b38dd79efd496ba963dfc4,https://wobcovid19.rijksoverheid.nl/publicaties/c4b89b0939b38dd79efd496ba963dfc4/,Wob deelbesluit aangaande overleggen VWS in de periode van maart 2020,11/8/2021 0:00,Bijlagen bij Wob deelbesluit aangaande overleggen VWS in de periode van maart 2020,https://wobcovid19.rijksoverheid.nl/publicaties/c4b89b0939b38dd79efd496ba963dfc4/bijlagen-bij-wob-deelbesluit-aangaande-overleggen-vws-in-de-periode-van-maart-2020.pdf,8/11/2021,149 MB,,367 (367),306
47e9f21007af9e0da0634f801cdd8667,https://wobcovid19.rijksoverheid.nl/publicaties/47e9f21007af9e0da0634f801cdd8667/,Wob deelbesluit aangaande scenario’s en maatregelen in de periode van maart 2020,11/9/2021 0:00,Wob-deelbesluit aangaande scenario&#8217;s en maatregelen in de periode van maart 2020,https://wobcovid19.rijksoverheid.nl/publicaties/47e9f21007af9e0da0634f801cdd8667/wob-deelbesluit-aangaande-scenarios-en-maatregelen-in-de-periode-van-maart-2020.pdf,9/11/2021,3 MB,,9 (9),414
47e9f21007af9e0da0634f801cdd8667,https://wobcovid19.rijksoverheid.nl/publicaties/47e9f21007af9e0da0634f801cdd8667/,Wob deelbesluit aangaande scenario’s en maatregelen in de periode van maart 2020,11/9/2021 0:00,Bijlage B Inventarislijst Wob-verzoek Scenario's en Maatregelen Maart 2020,https://wobcovid19.rijksoverheid.nl/publicaties/47e9f21007af9e0da0634f801cdd8667/bijlage-b-inventarislijst-wob-verzoek-scenarios-en-maatregelen-maart-2020.pdf,9/11/2021,363 kB,Inventarislijst Wob-verzoek Scenario's en Maatregelen Maart 2020.xlsx,113 (113),103
47e9f21007af9e0da0634f801cdd8667,https://wobcovid19.rijksoverheid.nl/publicaties/47e9f21007af9e0da0634f801cdd8667/,Wob deelbesluit aangaande scenario’s en maatregelen in de periode van maart 2020,11/9/2021 0:00,Bijlagen bij Wob-deelbesluit aangaande scenario&#8217;s en maatregelen in de periode van maart 2020,https://wobcovid19.rijksoverheid.nl/publicaties/47e9f21007af9e0da0634f801cdd8667/bijlagen-bij-wob-deelbesluit-aangaande-scenarios-en-maatregelen-in-de-periode-van-maart-2020.pdf,9/11/2021,712 MB,ERROR,0 (2176),0
6873804cd27a4c08c9e1c257c0a251f5,https://wobcovid19.rijksoverheid.nl/publicaties/6873804cd27a4c08c9e1c257c0a251f5/,Wob-besluit over domeinnaam coronacheck,11/10/2021 0:00,Wob-besluit over domeinnaam coronacheck,https://wobcovid19.rijksoverheid.nl/publicaties/6873804cd27a4c08c9e1c257c0a251f5/wob-besluit-over-domeinnaam-coronacheck.pdf,10/11/2021,871 kB,,3 (3),170
6873804cd27a4c08c9e1c257c0a251f5,https://wobcovid19.rijksoverheid.nl/publicaties/6873804cd27a4c08c9e1c257c0a251f5/,Wob-besluit over domeinnaam coronacheck,11/10/2021 0:00,bijlage bij Wob-besluit over domeinnaam coronacheck,https://wobcovid19.rijksoverheid.nl/publicaties/6873804cd27a4c08c9e1c257c0a251f5/bijlage-bij-wob-besluit-over-domeinnaam-coronacheck.pdf,10/11/2021,5 MB,,37 (37),79
0335b3f498dbbd7c537ad23abe8c08dc,https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/,Deelbesluit 1 Wob-verzoek d.d. 11 augustus 2021 inzake het Europees Herstelfonds,11/16/2021 0:00,Deelbesluit 1 Wob-verzoek d.d. 11 augustus 2021 inzake het Europees Herstelfonds,https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/deelbesluit-1-wob-verzoek-dd-11-augustus-2021-inzake-het-europees-herstelfonds.pdf,16-11-2021,335 kB,,13 (13),357
0335b3f498dbbd7c537ad23abe8c08dc,https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/,Deelbesluit 1 Wob-verzoek d.d. 11 augustus 2021 inzake het Europees Herstelfonds,11/16/2021 0:00,2 Inventarislijst Wob-verzoek 11-08-2021 inzake het Europees Herstelfonds,https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/2-inventarislijst-wob-verzoek-11-08-2021-inzake-het-europees-herstelfonds.pdf,16-11-2021,2 MB,,10 (10),1
0335b3f498dbbd7c537ad23abe8c08dc,https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/,Deelbesluit 1 Wob-verzoek d.d. 11 augustus 2021 inzake het Europees Herstelfonds,11/16/2021 0:00,3 stukken Wob-verzoek Europees Herstelfonds (deel 1),https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/3-stukken-wob-verzoek-europees-herstelfonds-deel-1.pdf,16-11-2021,21 MB,,106 (106),295
